Order Line;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Product ID;Sales;Quantity;Discount;Profit
1;CA-2021-152156;08/11/2021;11/11/2021;Second Class;CG-12520;FUR-BO-10001798;261.96;2;0;419.136
2;CA-2021-152156;08/11/2021;11/11/2021;Second Class;CG-12520;FUR-CH-10000454;731.94;3;0;219.582
3;CA-2021-138688;12/06/2021;16/06/2021;Second Class;DV-13045;OFF-LA-10000240;14.62;2;0;68.714
4;US-2020-108966;11/10/2020;18/10/2020;Standard Class;SO-20335;FUR-TA-10000577;9.575.775;5;0.45;-383.031
5;US-2020-108966;11/10/2020;18/10/2020;Standard Class;SO-20335;OFF-ST-10000760;22.368;2;0.2;25.164
6;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;FUR-FU-10001487;48.86;7;0;141.694
7;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;OFF-AR-10002833;7.28;4;0;19.656
8;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;TEC-PH-10002275;907.152;6;0.2;907.152
9;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;OFF-BI-10003910;18.504;3;0.2;57.825
10;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;OFF-AP-10002892;114.9;5;0;34.47
11;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;FUR-TA-10001539;1.706.184;9;0.2;853.092
12;CA-2019-115812;09/06/2019;14/06/2019;Standard Class;BH-11710;TEC-PH-10002033;911.424;4;0.2;683.568
13;CA-2022-114412;15/04/2022;20/04/2022;Standard Class;AA-10480;OFF-PA-10002365;15.552;3;0.2;54.432
14;CA-2021-161389;05/12/2021;10/12/2021;Standard Class;IM-15070;OFF-BI-10003656;407.976;3;0.2;1.325.922
15;US-2020-118983;22/11/2020;26/11/2020;Standard Class;HP-14815;OFF-AP-10002311;68.81;5;0.8;-123.858
16;US-2020-118983;22/11/2020;26/11/2020;Standard Class;HP-14815;OFF-BI-10000756;2.544;3;0.8;-3.816
17;CA-2019-105893;11/11/2019;18/11/2019;Standard Class;PK-19075;OFF-ST-10004186;665.88;6;0;133.176
18;CA-2019-167164;13/05/2019;15/05/2019;Second Class;AG-10270;OFF-ST-10000107;55.5;2;0;9.99
19;CA-2019-143336;27/08/2019;01/09/2019;Second Class;ZD-21925;OFF-AR-10003056;8.56;2;0;24.824
20;CA-2019-143336;27/08/2019;01/09/2019;Second Class;ZD-21925;TEC-PH-10001949;213.48;3;0.2;16.011
21;CA-2019-143336;27/08/2019;01/09/2019;Second Class;ZD-21925;OFF-BI-10002215;22.72;4;0.2;7.384
22;CA-2021-137330;09/12/2021;13/12/2021;Standard Class;KB-16585;OFF-AR-10000246;19.46;7;0;50.596
23;CA-2021-137330;09/12/2021;13/12/2021;Standard Class;KB-16585;OFF-AP-10001492;60.34;7;0;156.884
24;US-2022-156909;16/07/2022;18/07/2022;Second Class;SF-20065;FUR-CH-10002774;71.372;2;0.3;-10.196
25;CA-2020-106320;25/09/2020;30/09/2020;Standard Class;EB-13870;FUR-TA-10000577;1044.63;3;0;2.402.649
26;CA-2021-121755;16/01/2021;20/01/2021;Second Class;EH-13945;OFF-BI-10001634;11.648;2;0.2;42.224
27;CA-2021-121755;16/01/2021;20/01/2021;Second Class;EH-13945;TEC-AC-10003027;90.57;3;0;117.741
28;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;FUR-BO-10004834;3083.43;7;0.5;-16.650.522
29;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;OFF-BI-10000474;9.618;2;0.7;-70.532
30;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;FUR-FU-10004848;124.2;3;0.2;15.525
31;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;OFF-EN-10001509;3.264;2;0.2;11.016
32;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;OFF-AR-10004042;86.304;6;0.2;97.092
33;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;OFF-BI-10001525;6.858;6;0.7;-5.715
34;US-2020-150630;17/09/2020;21/09/2020;Standard Class;TB-21520;OFF-AR-10001683;15.76;2;0.2;3.546
35;CA-2022-107727;19/10/2022;23/10/2022;Second Class;MA-17560;OFF-PA-10000249;29.472;3;0.2;99.468
36;CA-2021-117590;08/12/2021;10/12/2021;First Class;GH-14485;TEC-PH-10004977;1.097.544;7;0.2;1.234.737
37;CA-2021-117590;08/12/2021;10/12/2021;First Class;GH-14485;FUR-FU-10003664;190.92;5;0.6;-147.963
38;CA-2020-117415;27/12/2020;31/12/2020;Standard Class;SN-20710;OFF-EN-10002986;113.328;9;0.2;35.415
39;CA-2020-117415;27/12/2020;31/12/2020;Standard Class;SN-20710;FUR-BO-10002545;5.323.992;3;0.32;-469.764
40;CA-2020-117415;27/12/2020;31/12/2020;Standard Class;SN-20710;FUR-CH-10004218;212.058;3;0.3;-15.147
41;CA-2020-117415;27/12/2020;31/12/2020;Standard Class;SN-20710;TEC-PH-10000486;371.168;4;0.2;417.564
42;CA-2022-120999;10/09/2022;15/09/2022;Standard Class;LC-16930;TEC-PH-10004093;147.168;4;0.2;165.564
43;CA-2021-101343;17/07/2021;22/07/2021;Standard Class;RA-19885;OFF-ST-10003479;77.88;2;0;3.894
44;CA-2022-139619;19/09/2022;23/09/2022;Standard Class;ES-14080;OFF-ST-10003282;95.616;2;0.2;95.616
45;CA-2021-118255;11/03/2021;13/03/2021;First Class;ON-18715;TEC-AC-10000171;45.98;2;0;197.714
46;CA-2021-118255;11/03/2021;13/03/2021;First Class;ON-18715;OFF-BI-10003291;17.46;2;0;82.062
47;CA-2019-146703;20/10/2019;25/10/2019;Second Class;PO-18865;OFF-ST-10001713;211.96;4;0;84.784
48;CA-2021-169194;20/06/2021;25/06/2021;Standard Class;LH-16900;TEC-AC-10002167;45;3;0;4.95
49;CA-2021-169194;20/06/2021;25/06/2021;Standard Class;LH-16900;TEC-PH-10003988;21.8;2;0;6.104
50;CA-2020-115742;18/04/2020;22/04/2020;Standard Class;DP-13000;OFF-BI-10004410;38.22;6;0;179.634
